SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Aix sponsa x galericulata,Wood x Mandarin Duck (hybrid),x00833,hybrid,458.0,AWDU WODU CWDU MADU,AIGA AISP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix sponsa x Amazonetta brasiliensis,Wood Duck x Brazilian Teal (hybrid),x01178,hybrid,464.0,WODU AWDU CWDU BRTE,AMBR AISP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa x Spatula discors,Baikal x Blue-winged Teal (hybrid),x01179,hybrid,486.0,BWTE BATE,SPDI SIFO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula discors x cyanoptera,Blue-winged x Cinnamon Teal (hybrid),bwxtea1,hybrid,494.0,CITE BWTE,SPDI SPCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula querquedula x clypeata,Garganey x Northern Shoveler (hybrid),x00836,hybrid,502.0,NSHO NOSH GARG,SPCL SPQU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula discors x clypeata,Blue-winged Teal x Northern Shoveler (hybrid),x00629,hybrid,503.0,NSHO BWTE NOSH,SPDI SPCL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula cyanoptera x clypeata,Cinnamon Teal x Northern Shoveler (hybrid),x00630,hybrid,504.0,CITE NSHO NOSH,SPCL SPCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata x Mareca strepera,Northern Shoveler x Gadwall (hybrid),x00457,hybrid,508.0,NSHO GADW NOSH,SPCL MAST,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa x Mareca falcata,Baikal Teal x Falcated Duck (hybrid),x00368,hybrid,510.0,FADU BATE,MAFA SIFO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera x falcata,Gadwall x Falcated Duck (hybrid),x00369,hybrid,511.0,GADW FADU,MAFA MAST,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa x Mareca penelope,Baikal Teal x Eurasian Wigeon (hybrid),x01219,hybrid,513.0,EUWI BATE,SIFO MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata x Mareca penelope,Northern Shoveler x Eurasian Wigeon (hybrid),x01140,hybrid,514.0,NSHO NOSH EUWI,SPCL MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera x penelope,Gadwall x Eurasian Wigeon (hybrid),x00723,hybrid,515.0,GADW EUWI,MAST MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca falcata x penelope,Falcated Duck x Eurasian Wigeon (hybrid),x01220,hybrid,516.0,FADU EUWI,MAFA MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix sponsa x Mareca americana,Wood Duck x American Wigeon (hybrid),x00877,hybrid,518.0,AMWI WODU AWDU CWDU,AISP MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula discors x Mareca americana,Blue-winged Teal x American Wigeon (hybrid),x00370,hybrid,519.0,AMWI BWTE,SPDI MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata x Mareca americana,Northern Shoveler x American Wigeon (hybrid),x00777,hybrid,520.0,NSHO AMWI NOSH,SPCL MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera x americana,Gadwall x American Wigeon (hybrid),x00724,hybrid,521.0,GADW AMWI,MAST MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
